unit,bezirk,bevoelkerung,ja_pct,nein_pct,beteiligung_pct,ergebnis,bevoelkerung,u18_pct,ue65_pct,auslaender_pct,migra_pct,u18_migra_pct,pers_je_hh,einpers_hh_pct,hh_kinder_pct,alleinerz_pct,ew_je_km2,wanderungssaldo,svb_pct,arbeitslose_pct,jueng_arbeitslose_pct,aelt_arbeitslose_pct,sgb2_pct,u15_mindestsich_pct,grundsich_alter_pct,einkommen_je_stpfl,whg_ein_zweifam_pct,dschn_whg_groesse_m2,wohnflaeche_je_ew_m2,sozialwhg_pct,immo_grundstueck_eur_m2,immo_ein_zweifam_eur_m2,immo_eigentumswhg_eur_m2,schueler_stadtteilschule_pct,schueler_gymnasium_pct,private_pkw_je_1000,bw_spd,bw_gruene,bw_cdu,bw_linke,bw_afd,bw_fdp,bw_volt,bw_bsw,bw_partei,bw_fw,bw_dava,bw_tier,bw_oedp,bw_buendnis,bw_diewahl,bw_npd,bw_beteiligung_pct,bw_winner,bw_winner_key
Hamburg-Altstadt/Neuwerk,Hamburg-Mitte,2549.0,50.9,49.1,51.4,Ja,2549.0,11.8,10.6,23.1,46.5,70.1,1.6,63.2,11.4,25.3,1961.0,104.0,72.3,7.3,,6.0,9.1,15.1,17.0,61093.0,2.1,72.5,49.9,11.0,1828.0,,7106.0,42.6,55.7,231.0,25.3,20.2,20.0,13.9,5.9,6.3,4.2,2.0,0.4,0.1,0.3,0.9,0.3,0.0,0.2,0.1,68.0,SPD,spd
HafenCity,Hamburg-Mitte,8062.0,62.2,37.8,57.6,Ja,8062.0,20.6,9.4,14.5,41.8,58.1,2.2,37.0,26.9,16.0,3359.0,581.0,59.4,4.1,1.7,3.4,4.8,8.4,5.0,92492.0,0.6,75.4,46.4,26.5,2357.0,,11508.0,30.6,67.9,239.0,28.5,23.2,22.4,8.9,4.9,4.9,3.6,1.5,0.2,0.2,0.7,0.4,0.2,0.1,0.2,0.0,72.1,SPD,spd
Neustadt,Hamburg-Mitte,12710.0,39.0,61.0,54.7,Nein,12710.0,11.0,15.3,21.0,38.6,49.6,1.5,69.6,10.9,32.3,5526.0,57.0,62.8,6.3,2.6,8.9,7.0,12.1,16.6,48592.0,1.2,63.0,39.3,12.7,1766.0,,7618.0,43.5,54.1,229.0,28.3,24.9,13.3,17.2,5.4,2.6,4.1,2.0,0.5,0.1,0.4,0.5,0.2,0.1,0.3,0.0,72.7,SPD,spd
St. Pauli,Hamburg-Mitte,22377.0,29.1,70.9,52.5,Nein,22377.0,12.9,10.7,24.1,39.9,51.9,1.5,69.5,11.9,37.2,10171.0,53.0,56.1,8.3,3.6,11.5,12.3,21.0,22.2,38452.0,1.5,62.8,36.1,16.0,1523.0,,6844.0,53.6,42.9,193.0,20.2,26.2,5.2,36.0,3.3,1.0,3.9,1.3,0.7,0.1,0.7,0.5,0.1,0.1,0.7,0.0,70.5,Die Linke,linke
St. Georg,Hamburg-Mitte,12508.0,45.2,54.8,55.8,Nein,12508.0,10.8,14.2,30.8,46.2,62.0,1.5,67.6,9.9,27.3,6949.0,-114.0,57.5,8.9,4.7,9.3,12.0,21.5,18.4,59235.0,1.5,69.8,38.6,9.9,1525.0,,7618.0,42.7,54.1,190.0,26.0,27.5,14.7,18.0,3.4,2.6,4.6,1.7,0.3,0.1,0.4,0.3,0.1,0.2,0.2,0.0,72.4,GRÜNE,gruene
Hammerbrook,Hamburg-Mitte,6943.0,46.7,53.3,42.6,Nein,6943.0,13.7,3.6,46.2,64.3,86.9,1.7,57.0,11.7,24.3,2777.0,167.0,57.5,9.9,3.0,21.9,20.5,46.3,38.9,38062.0,1.1,52.5,29.7,19.9,702.0,,5914.0,70.1,28.2,128.0,21.1,26.6,11.6,20.2,5.1,4.6,6.1,2.0,0.4,0.4,0.7,0.5,0.2,0.2,0.2,0.0,62.8,GRÜNE,gruene
Borgfelde,Hamburg-Mitte,8880.0,39.1,60.9,45.7,Nein,8880.0,13.6,10.5,40.6,56.9,81.6,1.5,68.2,10.0,25.2,11100.0,45.0,57.2,8.9,4.3,12.2,16.8,41.3,15.7,33265.0,0.8,53.1,28.2,7.5,785.0,,6148.0,62.2,33.9,186.0,31.3,21.3,12.5,16.4,6.4,2.6,4.8,1.9,0.5,0.2,0.5,0.8,0.4,0.1,0.2,0.1,65.4,SPD,spd
Hamm,Hamburg-Mitte,38871.0,36.9,63.1,48.9,Nein,38871.0,11.7,13.5,22.0,41.7,65.6,1.5,68.8,11.1,32.4,9967.0,-112.0,68.2,7.1,3.4,9.0,9.8,20.8,14.3,34051.0,0.8,58.6,36.0,5.6,655.0,,4576.0,56.8,39.7,250.0,32.8,20.6,12.2,16.1,7.6,1.7,4.1,2.2,0.6,0.3,0.5,0.8,0.2,0.1,0.2,0.0,65.6,SPD,spd
Horn,Hamburg-Mitte,39186.0,38.6,61.4,32.9,Nein,39186.0,16.3,14.5,31.6,59.5,79.2,1.7,60.0,16.1,33.9,6642.0,301.0,60.1,8.8,4.1,10.0,15.2,27.8,17.1,28727.0,4.3,60.8,31.7,11.9,549.0,4133.0,4158.0,64.8,32.2,255.0,36.2,11.8,14.2,13.8,11.9,1.7,3.0,2.8,0.5,0.4,1.8,0.8,0.2,0.2,0.6,0.1,50.2,SPD,spd
Billstedt,Hamburg-Mitte,73098.0,42.7,57.3,29.2,Nein,73098.0,19.4,18.2,30.8,64.6,81.3,2.0,49.0,21.1,32.6,4325.0,479.0,57.2,9.9,4.7,9.1,18.8,32.4,17.5,29972.0,19.7,72.8,32.7,13.2,545.0,3900.0,3463.0,69.0,27.5,306.0,41.1,7.2,18.3,8.8,14.2,1.6,1.4,2.8,0.3,0.3,2.5,0.8,0.1,0.1,0.6,0.0,47.9,SPD,spd
