Bezirk;Stadtteil;Erfassungsgebietsnummer;Erfassungsgebietsname;Erfassungsgebietsart;Abstimmungsberechtigte (A);Abstimmende (B);Ungültige Stimmzettel (C);Gültige Stimmzettel (D);D-JA;D-NEIN;
Bezirk Hamburg-Mitte;Hamburg-Altstadt/Neuwerk;1011;Finanzämter Steinstraße;ABSTIMMBEZIRK;1738;139;1;138;60;78;
Bezirk Hamburg-Mitte;Hamburg-Altstadt/Neuwerk;10119901;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;754;0;754;394;360;
Bezirk Hamburg-Mitte;HafenCity;1021;Katharinenschule in der HafenCity;ABSTIMMBEZIRK;3254;338;0;338;200;138;
Bezirk Hamburg-Mitte;HafenCity;10219901;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;600;2;598;421;177;
Bezirk Hamburg-Mitte;HafenCity;10219902;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;620;0;620;432;188;
Bezirk Hamburg-Mitte;HafenCity;10219903;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;515;1;514;332;182;
Bezirk Hamburg-Mitte;HafenCity;1022;Grundschule am Baakenhafen;ABSTIMMBEZIRK;3082;311;0;311;174;137;
Bezirk Hamburg-Mitte;HafenCity;10229901;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;656;1;655;390;265;
Bezirk Hamburg-Mitte;HafenCity;10229902;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;612;0;612;321;291;
Bezirk Hamburg-Mitte;Neustadt;1031;Stadtteilschule am Hafen, Standort Neustadt;ABSTIMMBEZIRK;8860;638;0;638;244;394;
Bezirk Hamburg-Mitte;Neustadt;10319901;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;898;7;891;369;522;
Bezirk Hamburg-Mitte;Neustadt;10319902;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;829;1;828;348;480;
Bezirk Hamburg-Mitte;Neustadt;10319903;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;838;2;836;326;510;
Bezirk Hamburg-Mitte;Neustadt;10319904;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;845;1;844;294;550;
Bezirk Hamburg-Mitte;Neustadt;10319905;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;800;0;800;305;495;
Bezirk Hamburg-Mitte;St. Pauli;1041;Berufliche Schule St. Pauli;ABSTIMMBEZIRK;7423;655;3;652;135;517;
Bezirk Hamburg-Mitte;St. Pauli;10419901;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;940;0;940;242;698;
Bezirk Hamburg-Mitte;St. Pauli;10419902;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;846;2;844;188;656;
Bezirk Hamburg-Mitte;St. Pauli;10419903;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;800;0;800;163;637;
Bezirk Hamburg-Mitte;St. Pauli;10419904;Briefabstimmbezirk;BRIEFABSTIMMBEZIRK;0;800;0;800;148;652;
